"","airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","database_timezone","type","source"
"MVB",971,"M'Vengue El Hadj Omar Bongo Ondimba International Airport","Franceville","Gabon","MVB","FOON",-1.65615999698639,13.4379997253418,1450,"1","N","Africa/Libreville","airport","OurAirports"
"PCP",972,"Principe Airport","Principe","Sao Tome and Principe","PCP","FPPR",1.66294002532959,7.41173982620239,591,"0","N","Africa/Sao_Tome","airport","OurAirports"
"TMS",973,"São Tomé International Airport","Sao Tome","Sao Tome and Principe","TMS","FPST",0.378174990415573,6.71215009689331,33,"0","N","Africa/Sao_Tome","airport","OurAirports"
"BEW",974,"Beira Airport","Beira","Mozambique","BEW","FQBR",-19.7964000701904,34.907600402832,33,"2","U","Africa/Maputo","airport","OurAirports"
"INH",976,"Inhambane Airport","Inhambane","Mozambique","INH","FQIN",-23.8763999938965,35.4085006713867,30,"2","U","Africa/Maputo","airport","OurAirports"
"VXC",977,"Lichinga Airport","Lichinga","Mozambique","VXC","FQLC",-13.274,35.2663,4505,"2","U","Africa/Maputo","airport","OurAirports"
"LFB",978,"Lumbo Airport","Lumbo","Mozambique","LFB","FQLU",-15.0331001282,40.6716995239,33,"2","U","Africa/Maputo","airport","OurAirports"
"MPM",979,"Maputo Airport","Maputo","Mozambique","MPM","FQMA",-25.920799,32.572601,145,"2","U","Africa/Maputo","airport","OurAirports"
"MUD",980,"Mueda Airport","Mueda","Mozambique","MUD","FQMD",-11.6729001998901,39.5630989074707,2789,"2","U","Africa/Maputo","airport","OurAirports"
"MZB",981,"Mocímboa da Praia Airport","Mocimboa Da Praia","Mozambique","MZB","FQMP",-11.3618001937866,40.3549003601074,89,"2","U","Africa/Maputo","airport","OurAirports"
"MNC",983,"Nacala Airport","Nacala","Mozambique","MNC","FQNC",-14.4882001876831,40.7122001647949,410,"2","U","Africa/Maputo","airport","OurAirports"
"APL",984,"Nampula Airport","Nampula","Mozambique","APL","FQNP",-15.1056003570557,39.2817993164062,1444,"2","U","Africa/Maputo","airport","OurAirports"
"POL",985,"Pemba Airport","Pemba","Mozambique","POL","FQPB",-12.9917621612549,40.5240135192871,331,"2","U","Africa/Maputo","airport","OurAirports"
"UEL",986,"Quelimane Airport","Quelimane","Mozambique","UEL","FQQL",-17.8554992675781,36.8690986633301,36,"2","U","Africa/Maputo","airport","OurAirports"
"TET",988,"Chingozi Airport","Tete","Mozambique","TET","FQTT",-16.1047992706299,33.6402015686035,525,"2","U","Africa/Maputo","airport","OurAirports"
"VNX",990,"Vilankulo Airport","Vilankulu","Mozambique","VNX","FQVL",-22.0184001922607,35.3133010864258,46,"2","U","Africa/Maputo","airport","OurAirports"
"DES",992,"Desroches Airport","Desroches","Seychelles","DES","FSDR",-5.6967,53.6558,10,"4","U","Indian/Mahe","airport","OurAirports"
"SEZ",994,"Seychelles International Airport","Mahe","Seychelles","SEZ","FSIA",-4.67434,55.521801,10,"4","U","Indian/Mahe","airport","OurAirports"
"PRI",995,"Praslin Airport","Praslin","Seychelles","PRI","FSPP",-4.31929016113281,55.6913986206055,10,"4","U","Indian/Mahe","airport","OurAirports"
"AEH",997,"Abeche Airport","Abeche","Chad","AEH","FTTC",13.8470001220703,20.8442993164062,1788,"1","N","Africa/Ndjamena","airport","OurAirports"
"MQQ",998,"Moundou Airport","Moundou","Chad","MQQ","FTTD",8.62440967559814,16.0713996887207,1407,"1","N","Africa/Ndjamena","airport","OurAirports"
"NDJ",999,"N'Djamena International Airport","N'djamena","Chad","NDJ","FTTJ",12.1337,15.034,968,"1","N","Africa/Ndjamena","airport","OurAirports"
"FYT",1000,"Faya Largeau Airport","Faya-largeau","Chad","FYT","FTTY",17.9171009063721,19.1110992431641,771,"1","N","Africa/Ndjamena","airport","OurAirports"
"BUQ",1001,"Joshua Mqabuko Nkomo International Airport","Bulawayo","Zimbabwe","BUQ","FVBU",-20.017401,28.617901,4359,"2","U","Africa/Harare","airport","OurAirports"
"BFO",1003,"Buffalo Range Airport","Chiredzi","Zimbabwe","BFO","FVCZ",-21.008101,31.5786,1421,"2","U","Africa/Harare","airport","OurAirports"
"VFA",1004,"Victoria Falls International Airport","Victoria Falls","Zimbabwe","VFA","FVFA",-18.0958995819092,25.8390007019043,3490,"2","U","Africa/Harare","airport","OurAirports"
"HRE",1005,"Robert Gabriel Mugabe International Airport","Harare","Zimbabwe","HRE","FVHA",-17.931801,31.0928,4887,"2","U","Africa/Harare","airport","OurAirports"
"KAB",1006,"Kariba International Airport","Kariba","Zimbabwe","KAB","FVKB",-16.5198001861572,28.8850002288818,1706,"2","U","Africa/Harare","airport","OurAirports"
"UTA",1008,"Mutare Airport","Mutare","Zimbabwe","UTA","FVMU",-18.997499465942,32.627201080322,3410,"2","U","Africa/Harare","airport","OurAirports"
"MVZ",1009,"Masvingo International Airport","Masvingo","Zimbabwe","MVZ","FVMV",-20.0552997589111,30.8591003417969,3595,"2","U","Africa/Harare","airport","OurAirports"
"GWE",1011,"Thornhill Air Base","Gwert","Zimbabwe","GWE","FVTL",-19.4363994598389,29.8619003295898,4680,"2","U","Africa/Harare","airport","OurAirports"
"HWN",1012,"Hwange National Park Airport","Hwange National Park","Zimbabwe","HWN","FVWN",-18.6298999786377,27.0209999084473,3543,"2","U","Africa/Harare","airport","OurAirports"
